"('Delay Type', 'A')","('Delay Type', 'B')","('Delay Type', 'C')","('Delay Type', 'D')",AirTime,ArrDelay,Cancelled,CarrierDelay,DepDelay,Distance,Flight Count,NASDelay,UniqueCarrier,Year
3644,8408,6275,4,31636703,4660097,18331,1705271,5054033,201593203,471161,1948506,American Eagle Airlines Inc.,2008
1119,901,886,,38840572,2535588,2906,1478247,2228375,279436146,344110,1301073,Northwest Airlines Inc.,2008
1328,5016,118,,15277512,2253532,6462,1075766,2205401,96362582,190695,1091356,Comair Inc.,2008
3162,4748,4525,1,38486157,3651902,12436,1678216,4137595,243546417,553412,1829877,Skywest Airlines Inc.,2008
6352,2987,1202,,63520170,4945362,10541,1720150,6196282,484785762,437979,2047161,United Air Lines Inc.,2008
3857,1131,1594,,53474220,1270502,6582,1109335,2556181,388224541,446086,1567919,US Airways Inc.,2008
6554,5167,666,2,108958467,6147817,12389,2261002,12349540,763307895,1186911,1718542,Southwest Airlines Co.,2008
697,5424,3871,,32522117,3865055,9992,1218009,4154705,220656045,363414,2074904,Expressjet Airlines Inc.,2008
5020,1766,2433,,15837509,2886462,9219,1927740,2950054,100334283,245131,874222,Mesa Airlines Inc.,2008
1250.055556,918.7222222,866.875,31,36983718.89,1273966.833,5637.166667,476015.5556,1862267.833,256452332.3,354205,659030.9444,Average,2003
3124.052632,2345.210526,1483.3125,11.5,37593524.89,2393505.421,6724.052632,991214.3684,2908323.211,267760356.9,367775.2105,1288018.632,Average,2004
2967.5,2695,1442.75,13.14285714,35410201.3,2510898.55,6686.5,1072094,3038987.4,258396817.2,349641.9,1202309.85,Average,2005
2782.75,2106.277778,1763.0625,22.42857143,36018642.5,3040644.7,6096.7,1212764.7,3542862.35,259965028.5,350190.1,1280535.75,Average,2006
3338.95,3440.888889,1882.058824,7.8,37400777.25,3707552.45,8037.4,1440421.7,4156393.25,268243365.2,363764.4,1410037.3,Average,2007
2716.5,2889.684211,1566,2,35652522.25,2799748.9,6871.7,1202410.85,3427314.05,254588775,342751.45,1308575.05,Average,2008
